id,essay,prompt,formal_register,thematic_coherence,narrative_rhetorical_structure,cohesion
753,"[T] Os vidros de tintas
Os vridos de tintas pinta livros
Os vridos de tintas pinta parede
Os vridos de tintas pinta onibus
Os vridos de tintas pinta papelão
Os vridos de tintas pinta papel
Os vridos de tintas pinta jogos
Os vridos de tintas pinta brinquedos
Os vridos de tintas desenha
Os vridos de tintas pinta maquinas
Os vridos de tintas pinta bones
Os vridos de tintas pinta bolas
Os vridos de tintas pinta quadros
Os vridos de tintas pinta mesas
Os vridos de tintas pinta materias escolares
Os vridos de tintas pinta [?] de fios de tomadas
Os vridos de tintas pinta cadeiras
Os vridos de tintas pinta chinelos
Os vridos de tintas pinta escolas","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,1,1
582,"[T] O ARMÁRIO E TINTA MAGICA
EU ENCONTREI CON TINTA ENTÃO RESOLVI PINTAR ENCONTREI,A MINHA AMIGA E FUI PASIA PELO CON AMIGA
EU ENCONTREI OMEU AMIGO SETAVA MUTO A CUPADA EU RESOLVI [X] FAZE [?] [?] [?] [X] [X] 
CASANHA DO MEU AMIGO [X] [X] TINHA BOLA DE UVA TOMEI SOCO [X] [X] [X] PELA A JUDA
FUI NA CASANHA DA MIA AMIGA BRICA DE BONECA DE POSI [?] [?] SOCO UVA
E BOLO DE POSI ELA QUERIA BRICA DE [?] [?] [?] DE BOLA
A MINHA AMIGA MEVOU PARA CASA E FUI [?] [?]","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,2,3,2
548,"[T] Li um livro que me assustou !
[P] Em uma (belea) bela tarde, resolvi ir na biblioteca para ler
uns livros. Estava olhando as capas dos livros, mas nenhuma 
 me chamou atenção. Quando vi uma! Ah, vai ser este livro. O 
titulo do livro é ""Um livro assustador!
[P] Em uma noite chuvosa, Gabriela estava em seu quarto, brincando
de boneca. Ela ja tinha cansado de brincar de boneca e disse: 
[P] - Vou colocar essa boneca na cadeira e vou fazer outra coi- 
sa. Já sei, vou vou jogar um jogo de quebra - cabeça.
Enquanto Gabriela tentava montar, sua mãe fazia o jantar. Gabriela dis-
se:
[P] - Ah não, não consigo montar, está muito difícil.   
Sua mãe acabou de fazer o jantar, e chamou o pai de Gabriela,
A história estava quase  acabando, mas do nada as folhas do li-
vro iam soltando e voando pela biblioteca inteira (tido) tudo 
que contava no livro aparecia em imagens, as palavras iam 
falando igual a se alguma pessoa estivesse contando a história e 
vi a Gabriela se movendo, brincando, se divertindo, vi a mãe de-
la fazendo o jantar, vi o pai da Gabriela, tudo que li vi em
vi em cenas. A moça da biblioteca acabou indo la para ver
por que que eu estava demorando muito e o pior foi. A moça
viu aquilo acontecendo e ficou muito assustada! As horas iam
passando ... A moça me perguntou: 
[P] - O que esta acontecendo aqui ? Você rasgou o livro ou as pá-
ginas soltaram ? 
E eu disse: 
[P] Essa é uma longa história, eu estava lendo o livro, as 
folhas começaram a voltar e ...","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,5,3
113,"Um dia eu vi mas latas de tinta em de [?]
ai resolvi pintar a parede do meu [?]
algumas amigas para mim ajudar liguei para An Luza
Ana Gabriela Kelliny , e Para Julia e a Maira aí separei as
tintas que eu ia usar aí elas chegaram e eu fale vamos
pintar meu quarto com tinta azul e e rocho e rosa ai 
nos demoramos mais de 2 dias por quê Ana Gabriela 
não parava de conversar e rir aí na hora que agente termino
ru foi la pra 18:30 da tarde eu e elas pulamos corda
brincamos , e assistimos filme de terror aí liguei para os pais
elas e perguntei para eles se elas podiam durmir la em
casa aí eles deixaram aí agente ficou muito feliz ai agente
mecheu no celular mas noís não durmimos no quarto por 
que tava cheirando tinta aí meu pai armou S barracas
ai agente acampou do lado de fora da minha casa
aí no outro dia os pais da Ana Luiza, da Ana Gabriela,
da Julia, da Kelliny e da Maira chegaram ai perdeu a graça 
por que elas foram embora.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,5,3
174,"[P]era uma vez uma menina Que esta [?] uque faze
e um dia ela a algns tintas e Pintou o seu quarto
[LT] com alguns animais Para Pinta o seu quarto o e a filha foi
[LT] [X] com a sua mãe e condo a filha chegou e o [X]
[LT] [?] estava sem cor e as suas ropa jogadas no chan
[LT] o e [?] orumou oseu [X] o mãe dela [?] a sua filha
[LT] e a mãe com Prou uma timta de toda cor que ela quzer e um
[LT] dia a mãe dici Para filha que cimuda de [X] a filha deciquAver
[LT] viagane o mãe viajou [X] prasa [X] [X] Para Ponte tirou duas [X]
[LT] um belo dia a mai viaja Para a casa do a vã Parou ou gusdia
[LT] e a mae dicidil i Para caza e condo a mae chegou o [?] vil
[LT] a casa cheia de teia [X] [X] e Cheia de rato e Cheivo de tera [?]
[LT] o mãe limPao casa e a mae Coloceeu [?] e ficou 
[LT] Bonita e Cherosa e Brinlhante
[?]
fim","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,2,4,2
420,"[T] As Aventuras de Poleana
[P] Era uma vez uma menina chamada Poleana ela mora com
sua tia que sé chamava Eloisa.
[P] Um dia bem ce do Eloisa foi acorda Poleana pra ir pra escola:
- Poliana, Poliana Ja é hora de ir pra escola.
- Oi tia bença o tia Eloisa, Ja vou me arrumar pra
eu ir pra Escola.
- Ta bom então.
[P] Oi Poliana se arruma e ela foi pra sala.
- Já mem arrumei tia
- Ta certo Poliana vamos toma café
- Viu tia mas o que tem pra o café de Rosé
- Rosé Poliana tem: pão, mortandela, quijo e um suco
- Rum bom
[P] Ai Poliana e sua tia foram toma café
[P] Ai Poliana termino de toma caf
- tia já terminei vou escova o dentes pra eu ir pra
escola
- ta certo Poliana
Ae Poliana termino de escova os dentes e ela foi pra
escola
Deu 12:00
Ai ela chego ne sua casa e ela foi tira a roupa e 
vesti outra no quarto e ela emcontro [X] poti de
tentas e começou a pintar a parede do quarto dela.
[P] FIM","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4,3,5,3
309,"[T] A menina e as tintas
[P] Era uma vez Eu encontrei umas tintas em cima da minha [?]
eu é minha prima resoveu pinta a parede da cozinha, eu falei e melho
não faze isso e ela falou minha mãe ta no trabalho a baba foi
pega a comida lá em baixo e estava demorando muito nós pintou
aparede no tema galaxa a baba chegou e brigou com elas e a
mãe de eduarda chego e viu a parede pintada e colocou
ela de castigo e fim.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,5,3
998,"[T]A Menina e o Passarinho
[P]Um canto [X] lindo, eu nunca tinha visto um canto taõ belo
como aquele. Ele era azul com amarelo, logo o outro passarinho
pousou perto de mim ele era da mesma especie que o primeiro passarinho
[P]Porem o segundo tinha o canto mais belo que o primeiro eu
me sentia como uma arvore florida e repleta de passaros
com o melhor dos cantos que eu havia ouvido em toda a minha
visa. ássim que eles voavam eu fui correndo para casa
e perguntei para o meu pai se ele já tinha vistoaaqêiele
canto e ele disse que sim e ele disse o tanto que era belos.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
413,"[T] Amor ao proximo
[P] Era uma vez um menino que tinha tudo
mais ele não ser inportava com as coisas de
v alores ele só pensava em a tuda as pessoas
que precisa serto dia ele pendiupro papai
do ces que em véz de tanto pra ele que
pondece da para as outras pessoas que
precizava mais do que ele. Só [x] ele seria
feliz por quẽ a felicidade não e o dinheiro
mais ajunda as pessoas que precisa ser
cada um pensa assim o mundo ponde ser
melhor.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,1,3,3
1054,"[T]As pinturas magicas
[P]Ana então foi procurar quem tinha feito a quela bagunça
ela saiu procurando mas não encontrou nada perguntou
para seus amigos se eles viram alguma pessoa em sua
casa todos falaram não em tão foi para casa procurou
procurou e novamente não encontrou nada sua mãe
gritou Ana vem merendar Ana rapidamente foi e escutou
um barulho estranho vindo do seu quarto ela chegou
lá viu animais paressidos com os desenhos dela e percebel
que as tintas eram magicas se tornou amiga deles
e viveram feliz para sempre","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
1171,"[T]uma menina muito
esperta
Então resouv envestigar
e achei uma lata de tinta
no guintau corre para 
o meu quarto e [?] das
gavetas estava arrumada
botei a mão na parede que
ainda estava molhada
de tinta pensei comigo não vou
conseguir esse misterio sozinho e 
chamei a luisa pra [X] mae
ajudar chamei ela e corremos
pra minha mae e perguntamos
aque tinha acontesido minha
mãe disse Eu resouvi arrumar
as sua gaveta mas mao sei ague
aconteseu com a parede espera
o seu pai chegar [X] nos
[X] envestigavamos a sena
do crime ele [X] e disse [X]
foi ele, mais [X] [X} resouvido","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,3,3
